FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio,People_Tested,People_Hospitalized,UID,ISO3,Testing_Rate,Hospitalization_Rate
,,Goias,Brazil,2020-09-01 04:28:31,-15.827,-49.8362,132506,3094,123876.0,5536.0,"Goias, Brazil",1887.9925407011385,2.3349886042896166,,,,,,
,,Maranhao,Brazil,2020-09-01 04:28:31,-4.9609,-45.2744,151615,3446,139286.0,8883.0,"Maranhao, Brazil",2142.9133756436763,2.272862183820862,,,,,,
,,Mato Grosso,Brazil,2020-09-01 04:28:31,-12.6819,-56.9211,91346,2751,70889.0,17706.0,"Mato Grosso, Brazil",2621.5207724799147,3.011626124844,,,,,,
,,Mato Grosso do Sul,Brazil,2020-09-01 04:28:31,-20.7722,-54.7852,48937,862,41066.0,7009.0,"Mato Grosso do Sul, Brazil",1760.966050206802,1.7614483928315998,,,,,,
,,Minas Gerais,Brazil,2020-09-01 04:28:31,-18.5122,-44.555,216557,5335,179751.0,31471.0,"Minas Gerais, Brazil",1023.0012663453476,2.463554629958856,,,,,,
,,Para,Brazil,2020-09-01 04:28:31,-1.9981,-54.9306,199556,6146,185108.0,8302.0,"Para, Brazil",2319.645838915292,3.0798372386698465,,,,,,
,,Paraiba,Brazil,2020-09-01 04:28:31,-7.24,-36.782,105778,2450,75521.0,27807.0,"Paraiba, Brazil",2632.520077140419,2.316171604681503,,,,,,
,,Parana,Brazil,2020-09-01 04:28:31,-25.2521,-52.0215,131906,3290,85464.0,43152.0,"Parana, Brazil",1153.6338644617956,2.4942004154473643,,,,,,
,,Pernambuco,Brazil,2020-09-01 04:28:31,-8.8137,-36.9541,125539,7593,105859.0,12087.0,"Pernambuco, Brazil",1313.5719092177928,6.048319645687793,,,,,,
,,Piaui,Brazil,2020-09-01 04:28:31,-7.7183,-42.7289,77405,1825,74964.0,616.0,"Piaui, Brazil",2364.79168722487,2.357728828887023,,,,,,
,,Rio Grande do Norte,Brazil,2020-09-01 04:28:31,-5.4026,-36.9541,61748,2256,37767.0,21725.0,"Rio Grande do Norte, Brazil",1760.7809623043795,3.6535596294616832,,,,,,
,,Rio Grande do Sul,Brazil,2020-09-01 04:28:31,-30.0346,-51.2177,125813,3435,113498.0,8880.0,"Rio Grande do Sul, Brazil",1105.8306852831342,2.730242502762036,,,,,,
,,Rio de Janeiro,Brazil,2020-09-01 04:28:31,-22.9068,-43.1729,223631,16065,202227.0,5339.0,"Rio de Janeiro, Brazil",1295.2895355634826,7.183708877570641,,,,,,
,,Rondonia,Brazil,2020-09-01 04:28:31,-11.5057,-63.5806,55153,1148,45583.0,8422.0,"Rondonia, Brazil",3103.3211889321838,2.0814824216271104,,,,,,
,,Roraima,Brazil,2020-09-01 04:28:31,-2.7376,-62.0751,43518,587,11057.0,31874.0,"Roraima, Brazil",7184.021420989467,1.3488671354382096,,,,,,
,,Santa Catarina,Brazil,2020-09-01 04:28:31,-27.2423,-50.2189,177777,2260,136862.0,38655.0,"Santa Catarina, Brazil",2481.259738599384,1.2712555617430823,,,,,,
,,Sao Paulo,Brazil,2020-09-01 04:28:31,-23.5505,-46.6333,804342,30014,644441.0,129887.0,"Sao Paulo, Brazil",1751.6521302520878,3.731497298412864,,,,,,
,,Sergipe,Brazil,2020-09-01 04:28:31,-10.5741,-37.3857,72528,1857,62950.0,7721.0,"Sergipe, Brazil",3155.180154313576,2.5603904698874915,,,,,,
,,Tocantins,Brazil,2020-09-01 04:28:31,-10.1753,-48.2982,50694,673,32396.0,17625.0,"Tocantins, Brazil",3223.0336214273816,1.3275732828342606,,,,,,
,,,Brunei,2020-09-01 04:28:31,4.5353,114.7277,144,3,139.0,2.0,Brunei,32.915564719086234,2.083333333333333,,,,,,
,,,Bulgaria,2020-09-01 04:28:31,42.7339,25.4858,16266,629,11483.0,4154.0,Bulgaria,234.0955422400264,3.8669617607278983,,,,,,
,,,Burkina Faso,2020-09-01 04:28:31,12.2383,-1.5616,1368,55,1058.0,255.0,Burkina Faso,6.544428103573037,4.02046783625731,,,,,,
,,,Burma,2020-09-01 04:28:31,21.9162,95.956,882,6,354.0,522.0,Burma,1.6210316841118717,0.6802721088435374,,,,,,
,,,Burundi,2020-09-01 04:28:31,-3.3731,29.9189,445,1,357.0,87.0,Burundi,3.7423950537815807,0.2247191011235955,,,,,,
,,,Cabo Verde,2020-09-01 04:28:31,16.5388,-23.0418,3884,40,2916.0,928.0,Cabo Verde,698.5762282639192,1.0298661174047374,,,,,,
,,,Cambodia,2020-09-01 04:28:31,11.55,104.9167,274,0,266.0,8.0,Cambodia,1.6388568411297562,0.0,,,,,,
,,,Cameroon,2020-09-01 04:28:31,3.8480000000000003,11.5021,19142,411,17651.0,1080.0,Cameroon,72.10916171347823,2.147111064674537,,,,,,
,,Alberta,Canada,2020-09-01 04:28:31,53.9333,-116.5765,13902,239,12293.0,1370.0,"Alberta, Canada",315.01337141349967,1.7191770968206013,,,,,,
,,British Columbia,Canada,2020-09-01 04:28:31,53.7267,-127.6476,5790,208,4475.0,1107.0,"British Columbia, Canada",113.28691113551642,3.592400690846287,,,,,,
,,Diamond Princess,Canada,2020-09-01 04:28:31,,,0,1,0.0,,"Diamond Princess, Canada",,,,,,,,
